ID_cellule	Longitude	Latitude	January	February	March	April	May	June	July	August	September	October	November	December	Min	Max	Range	Mean
ID111	-3.29	35.21	15.08847218	14.40831129	14.48841136	15.16956868	16.91889177	19.11267524	21.52102683	22.71644753	21.83360554	19.87836181	18.09673967	16.43131606	13.68490518	24.27047299	10.58556781	17.97198566
ID112	-3.29	35.31	15.10040313	14.41995666	14.49334817	15.17371531	16.93791105	19.14433081	21.55873162	22.82008552	21.94884369	19.95859878	18.12383312	16.43980472	13.70523422	24.31973115	10.61449692	18.00996355
ID113	-3.29	35.81	14.99808796	14.33846469	14.47394951	15.17036885	16.97882221	19.26091497	21.5987902	23.13137558	22.53054739	20.54288355	18.33400126	16.36633763	13.38819535	24.42902053	11.04082517	18.14371198
ID114	-3.29	36.71	14.4755808	13.93384662	14.18289279	14.92638606	16.71070376	19.00379887	21.18291996	22.82588985	22.41208687	20.51729115	18.11242029	15.91378928	12.660349	24.07683606	11.41648706	17.84980053
ID115	-3.29	36.81	14.59246309	14.03891688	14.2643781	15.00073298	16.79338882	19.08532366	21.30420345	22.8991378	22.43822543	20.51409571	18.16058262	16.01873241	12.82050748	24.15661544	11.33610797	17.92584841
ID116	-3.19	35.21	15.07469886	14.40286319	14.4923149	15.18166505	16.94336461	19.14925572	21.56439511	22.77003669	21.91323999	19.94116715	18.11101849	16.42213434	13.67260086	24.28618817	10.61358731	17.99717951
ID117	-3.19	35.31	15.09052205	14.41603764	14.49514982	15.18215653	16.95797162	19.17402925	21.59837589	22.85916632	22.00899153	20.0015948	18.12708228	16.43179939	13.69827819	24.31258918	10.61431099	18.02857309
ID118	-3.19	35.41	15.0924715	14.41967135	14.49817294	15.18284651	16.9735984	19.21568007	21.62431559	22.99704541	22.20231194	20.17471183	18.19269925	16.43327302	13.6822415	24.34574471	10.66350321	18.08389982
ID119	-3.19	36.71	14.49079604	13.94575626	14.18514954	14.92874763	16.7153633	19.02756706	21.22556285	22.87330164	22.44783218	20.53714032	18.12355894	15.92606064	12.69652451	24.10724383	11.41071931	17.86890303
ID120	-3.09	35.31	15.08030435	14.41120127	14.49624407	15.19114577	16.97638057	19.20440146	21.6355346	22.89374824	22.06016566	20.03320989	18.12691025	16.42330312	13.69292639	24.29894631	10.60601992	18.0443791
ID121	-3.09	35.41	15.09282999	14.42027383	14.49692208	15.18273287	16.97844668	19.22755483	21.6462865	23.01343278	22.23166191	20.18574279	18.1849235	16.42833001	13.69003889	24.32752827	10.63748938	18.09076148
ID122	-3.09	35.91	14.90105528	14.29645384	14.43582175	15.12756128	16.9408957	19.23428507	21.57588973	23.13200447	22.57521205	20.54134908	18.27823367	16.26556462	13.32382912	24.27854763	10.95471851	18.10869388
ID123	-3.09	36.01	14.84138169	14.25945756	14.41270306	15.11216719	16.92559311	19.22421099	21.54572436	23.12179041	22.57923475	20.54445895	18.26438239	16.22396903	13.24606363	24.2797043	11.03364067	18.08792279
ID124	-3.09	36.71	14.46538307	13.92020138	14.15836532	14.9042053	16.68504295	19.01809178	21.22206662	22.89261044	22.47477664	20.55778257	18.1162568	15.9006448	12.6890636	24.11967675	11.43061315	17.85961897
ID125	-2.99	35.31	15.05763447	14.39133052	14.49375965	15.1975193	16.99785431	19.26973354	21.67598544	23.0251892	22.28279495	20.24165195	18.2112667	16.40576071	13.60637617	24.33532952	10.72895334	18.10420673
